disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh
2275,1999-09-16T00:00:00.000Z,BEAVER CREEK FIRE,1999-09-16T00:00:00.000Z,1999-09-18T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,2000-04-17T00:00:00.000Z,2003-02-28T00:00:00.000Z,2002-07-03T00:00:00.000Z,2fd028c77e314a4d939b5d45b5523f49,2018-03-09T18:42:00.886Z
1282,1999-07-22T00:00:00.000Z,SEVERE STORMS AND FLOODING,1999-07-02T00:00:00.000Z,1999-08-10T00:00:00.000Z,Major Disaster,IA,Iowa                          ,Severe Storm(s),1999-07-22T00:00:00.000Z,2010-06-14T00:00:00.000Z,2010-06-08T00:00:00.000Z,0fd3c2f82a1a6d86f21326b606e329ac,2018-03-09T18:42:00.889Z
2269,1999-08-09T00:00:00.000Z,WEST POINT FIRE COMPLEX,1999-08-06T00:00:00.000Z,1999-08-06T00:00:00.000Z,Fire Suppression,NY,New York                      ,Fire,1999-08-19T00:00:00.000Z,2004-07-15T00:00:00.000Z,2004-05-26T00:00:00.000Z,8e22e42970f66438091320b41765aa21,2018-03-09T18:42:00.889Z
1296,1999-09-19T00:00:00.000Z,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,1999-09-16T00:00:00.000Z,1999-09-18T00:00:00.000Z,Major Disaster,NY,New York                      ,Hurricane,1999-09-19T00:00:00.000Z,2018-04-16T00:00:00.000Z,2010-06-25T00:00:00.000Z,772c79862be1a6bd3a1b56864eb5b266,2018-04-18T18:09:53.942Z
1301,1999-09-22T00:00:00.000Z,"SEVERE ICE STORMS, FLOODING AND HEAVY RAINS",1999-07-16T00:00:00.000Z,1999-08-07T00:00:00.000Z,Major Disaster,NM,New Mexico                    ,Severe Storm(s),1999-09-22T00:00:00.000Z,2012-06-25T00:00:00.000Z,2012-06-22T00:00:00.000Z,b3b8141e6ee8d3e98cfa15d8dd32c34c,2018-03-09T18:42:00.892Z
3141,1999-09-01T00:00:00.000Z,HURRICANE DENNIS,1999-08-29T00:00:00.000Z,1999-09-11T00:00:00.000Z,Emergency,NC,North Carolina                ,Hurricane,1999-09-02T00:00:00.000Z,2004-03-23T00:00:00.000Z,2004-02-24T00:00:00.000Z,b71a8edda6091c06fc0ce6c834b950d1,2018-03-09T18:42:00.896Z
3143,1999-09-14T00:00:00.000Z,HURRICANE FLOYD EMERGENCY DECLARATIONS,1999-09-14T00:00:00.000Z,1999-09-16T00:00:00.000Z,Emergency,FL,Florida                       ,Hurricane,1999-09-14T00:00:00.000Z,2012-05-17T00:00:00.000Z,2012-05-15T00:00:00.000Z,efc1029edecd358e48cbc6ed52b03f89,2018-03-09T18:42:00.895Z
1279,1999-06-08T00:00:00.000Z,"SEVERE STORMS, FLOODING, SNOW, ICE, GROUND SATURATION, LANSLIDES, MUDSLIDES, AND TOR",1999-03-01T00:00:00.000Z,1999-07-19T00:00:00.000Z,Major Disaster,ND,North Dakota                  ,Flood,1999-06-07T00:00:00.000Z,2010-06-30T00:00:00.000Z,2010-06-24T00:00:00.000Z,ccf5dd769a72271660b3bd07fc1ed4c9,2018-03-09T18:42:00.899Z
1281,1999-07-20T00:00:00.000Z,NV - FLASH FLOODING 7/8/99,1999-07-08T00:00:00.000Z,1999-07-16T00:00:00.000Z,Major Disaster,NV,Nevada                        ,Severe Storm(s),1999-07-20T00:00:00.000Z,2007-07-05T00:00:00.000Z,2007-06-26T00:00:00.000Z,d5082a2a2f39b777497ae1fb43bb591e,2018-03-09T18:42:00.898Z
2276,1999-09-18T00:00:00.000Z,AL - JACKSON FARMS FIRE - 09/18/99,1999-09-15T00:00:00.000Z,,Fire Suppression,AL,Alabama                       ,Fire,2002-06-28T00:00:00.000Z,2002-11-05T00:00:00.000Z,2002-10-24T00:00:00.000Z,485b2d5c486dce2303657b5f6908b07b,2018-03-09T18:42:00.885Z
1287,1999-08-22T00:00:00.000Z,HURRICANE BRET ,1999-08-21T00:00:00.000Z,1999-08-26T00:00:00.000Z,Major Disaster,TX,Texas                         ,Hurricane,1999-08-23T00:00:00.000Z,2010-08-31T00:00:00.000Z,2010-08-27T00:00:00.000Z,45bbe14354a4e131fbc6cf4d38b13f2d,2018-03-09T18:42:00.888Z
1304,1999-10-15T00:00:00.000Z,"SEVERE STORMS, FLOODING, HIGH WINDS",1999-09-14T00:00:00.000Z,1999-09-23T00:00:00.000Z,Major Disaster,AZ,Arizona                       ,Severe Storm(s),1999-10-15T00:00:00.000Z,2009-02-19T00:00:00.000Z,2009-02-06T00:00:00.000Z,055bf252afac97bbb8d92668539885d6,2018-03-09T18:42:00.891Z
3147,1999-09-16T00:00:00.000Z,HURRICANE FLOYD EMERGENCY DECLARATIONS,1999-09-13T00:00:00.000Z,1999-09-26T00:00:00.000Z,Emergency,VA,Virginia                      ,Hurricane,1999-09-16T00:00:00.000Z,2005-05-18T00:00:00.000Z,2005-05-05T00:00:00.000Z,94ba5add5db34b7116866e796ce58084,2018-03-09T18:42:00.894Z
