,disasternumber,declarationdate,incidenttype,statecode,totalnumberiaapproved,totalamountihpapproved
963,1942,,,,1778.0,5391278.01
964,2069,,,,,
965,1967,,,,,
966,1922,,,,,
967,1992,,,,,
968,1947,,,,,
969,2018,,,,,
970,1972,,,,1962.0,10653250.32
971,2043,,,,,
972,1997,,,,,
973,2068,,,,,
974,2023,,,,,
975,2030,,,,,
976,2048,,,,,
977,2055,,,,,
978,2073,,,,,
979,2080,,,,,
980,2035,,,,,
981,2105,,,,,
982,2060,,,,,
983,2085,,,,,
984,2110,,,,,
985,2077,,,,,
986,2067,,,,,
987,2102,,,,,
988,2092,,,,,
989,2079,,,,,
990,2117,,,,,
991,2104,,,,,
992,2094,,,,,
993,2066,,,,,
994,2056,,,,,
995,2091,,,,,
996,2081,,,,,
997,2116,,,,,
998,2106,,,,,
999,2098,,,,,
1000,2088,,,,,
1001,2072,,,,,
1002,2113,,,,,
1003,2097,,,,,
1004,2082,,,,,
1005,2074,,,,,
1006,2107,,,,,
1007,2099,,,,,
1008,2084,,,,,
1009,2087,,,,,
1010,2109,,,,,
1011,2112,,,,,
1012,2071,,,,,
1013,2089,,,,,
1014,2096,,,,,
1015,2114,,,,,
1016,2078,,,,,
1017,2076,,,,,
1018,2061,,,,,
1019,2101,,,,,
1020,2086,,,,,
1021,2083,,,,,
1022,2111,,,,,
1023,2108,,,,,
1024,2093,,,,,
1025,2118,,,,,
1026,2103,,,,,
1027,2125,,,,,
1028,2132,,,,,
1029,2145,,,,,
1030,2119,,,,,
1031,2142,,,,,
1032,2136,,,,,
1033,2157,,,,,
1034,2175,,,,,
1035,2200,,,,,
1036,2225,,,,,
1037,2129,,,,,
1038,2154,,,,,
1039,2127,,,,,
1040,2140,,,,,
1041,2131,,,,,
1042,2152,,,,,
1043,2122,,,,,
1044,2135,,,,,
1045,2126,,,,,
1046,2147,,,,,
1047,2165,,,,,
1048,2190,,,,,
1049,2215,,,,,
1050,2120,,,,,
1051,2144,,,,,
1052,2169,,,,,
1053,2121,,,,,
1054,2146,,,,,
1055,2160,,,,,
1056,2185,,,,,
1057,2210,,,,,
1058,2156,,,,,
1059,2139,,,,,
1060,2164,,,,,
1061,2176,,,,,
1062,2130,,,,,
1063,2201,,,,,
1064,2226,,,,,
1065,2179,,,,,
1066,2166,,,,,
1067,2204,,,,,
1068,2191,,,,,
1069,2229,,,,,
1070,2216,,,,,
1071,2123,,,,,
1072,2241,,,,,
1073,2167,,,,,
1074,2194,,,,,
1075,2192,,,,,
1076,2219,,,,,
1077,2244,,,,,
1078,2170,,,,,
1079,2138,,,,,
1080,2195,,,,,
1081,2182,,,,,
1082,2220,,,,,
1083,2137,,,,,
1084,2124,,,,,
1085,2150,,,,,
1086,2149,,,,,
1087,2141,,,,,
1088,2161,,,,,
1089,2155,,,,,
1090,2186,,,,,
1091,2180,,,,,
1092,2211,,,,,
1093,2205,,,,,
1094,2236,,,,,
1095,2151,,,,,
1096,2189,,,,,
1097,2214,,,,,
1098,2239,,,,,
1099,2133,,,,,
1100,2177,,,,,
1101,2181,,,,,
1102,2206,,,,,
1103,2231,,,,,
1104,2184,,,,,
1105,2209,,,,,
1106,2234,,,,,
1107,2128,,,,,
1108,2172,,,,,
1109,2134,,,,,
1110,2159,,,,,
1111,2171,,,,,
1112,2196,,,,,
1113,2221,,,,,
1114,2174,,,,,
1115,2199,,,,,
1116,2224,,,,,
1117,2249,,,,,
1118,2162,,,,,
1119,2187,,,,,
1120,2256,,,,,
1121,2266,,,,,
1122,2281,,,,,
1123,2259,,,,,
1124,2274,,,,,
1125,2284,,,,,
1126,2299,,,,,
1127,2309,,,,,
1128,2324,,,,,
1129,2334,,,,,
1130,2349,,,,,
1131,2359,,,,,
1132,2143,,,,,
1133,2153,,,,,
1134,2168,,,,,
1135,2178,,,,,
1136,2193,,,,,
1137,2203,,,,,
1138,2218,,,,,
1139,2228,,,,,
1140,2243,,,,,
1141,2253,,,,,
1142,2268,,,,,
1143,2202,,,,,
1144,2217,,,,,
1145,2227,,,,,
1146,2242,,,,,
1147,2252,,,,,
1148,2267,,,,,
1149,2277,,,,,
1150,2292,,,,,
1151,2251,,,,,
1152,2276,,,,,
1153,2269,,,,,
1154,2294,,,,,
1155,2319,,,,,
1156,2344,,,,,
1157,2369,,,,,
1158,2163,,,,,
1159,2188,,,,,
1160,2213,,,,,
1161,2238,,,,,
1162,2263,,,,,
1163,2261,,,,,
1164,2212,,,,,
1165,2254,,,,,
1166,2237,,,,,
1167,2279,,,,,
1168,2262,,,,,
1169,2304,,,,,
1170,2287,,,,,
1171,2329,,,,,
1172,2246,,,,,
1173,2354,,,,,
1174,2271,,,,,
1175,2148,,,,,
1176,2264,,,,,
1177,2173,,,,,
1178,2289,,,,,
1179,2198,,,,,
1180,2314,,,,,
1181,2223,,,,,
1182,2339,,,,,
1183,2248,,,,,
1184,2364,,,,,
1185,2197,,,,,
1186,2158,,,,,
1187,2222,,,,,
1188,2183,,,,,
1189,2247,,,,,
1190,2208,,,,,
1191,2272,,,,,
1192,2233,,,,,
1193,2258,,,,,
1194,2207,,,,,
1195,2232,,,,,
1196,2257,,,,,
1197,2282,,,,,
1198,2291,,,,,
1199,2316,,,,,
1200,2341,,,,,
1201,2366,,,,,
1202,2288,,,,,
1203,2313,,,,,
1204,2338,,,,,
1205,2363,,,,,
1206,2307,,,,,
1207,2332,,,,,
1208,2357,,,,,
1209,2235,,,,,
1210,2260,,,,,
1211,2285,,,,,
1212,2310,,,,,
1213,2335,,,,,
1214,2360,,,,,
1215,2301,,,,,
1216,2326,,,,,
1217,2351,,,,,
1218,2273,,,,,
1219,2298,,,,,
1220,2323,,,,,
1221,2348,,,,,
1222,2373,,,,,
1223,2317,,,,,
1224,2342,,,,,
1225,2367,,,,,
1226,2245,,,,,
1227,2270,,,,,
1228,2295,,,,,
1229,2320,,,,,
1230,2345,,,,,
1231,2370,,,,,
1232,2296,,,,,
1233,2321,,,,,
1234,2346,,,,,
1235,2371,,,,,
1236,2293,,,,,
1237,2318,,,,,
1238,2343,,,,,
1239,2368,,,,,
1240,2312,,,,,
1241,2337,,,,,
1242,2362,,,,,
1243,2240,,,,,
1244,2265,,,,,
1245,2290,,,,,
1246,2315,,,,,
1247,2340,,,,,
1248,2365,,,,,
1249,2286,,,,,
1250,2311,,,,,
1251,2336,,,,,
1252,2361,,,,,
1253,2283,,,,,
1254,2308,,,,,
1255,2333,,,,,
1256,2358,,,,,
1257,2302,,,,,
1258,2327,,,,,
1259,2352,,,,,
1260,2230,,,,,
1261,2255,,,,,
1262,2280,,,,,
1263,2305,,,,,
1264,2330,,,,,
1265,2355,,,,,
1266,2306,,,,,
1267,2331,,,,,
1268,2356,,,,,
1269,2278,,,,,
1270,2303,,,,,
1271,2328,,,,,
1272,2353,,,,,
1273,2297,,,,,
1274,2322,,,,,
1275,2347,,,,,
1276,2372,,,,,
1277,2250,,,,,
1278,2275,,,,,
1279,2300,,,,,
1280,2325,,,,,
1281,2350,,,,,
1282,2389,,,,,
1283,2382,,,,,
1284,2388,,,,,
1285,2413,,,,,
1286,2395,,,,,
1287,2381,,,,,
1288,2406,,,,,
1289,2423,,,,,
1290,2449,,,,,
1291,2474,,,,,
1292,2499,,,,,
1293,2524,,,,,
1294,2425,,,,,
1295,2451,,,,,
1296,2476,,,,,
1297,2501,,,,,
1298,2526,,,,,
1299,2431,,,,,
1300,2457,,,,,
1301,2482,,,,,
1302,2507,,,,,
1303,2532,,,,,
1304,2557,,,,,
1305,2582,,,,,
1306,2417,,,,,
1307,2443,,,,,
1308,2468,,,,,
1309,2493,,,,,
1310,2518,,,,,
1311,2543,,,,,
1312,2568,,,,,
1313,2409,,,,,
1314,2434,,,,,
1315,2460,,,,,
1316,2485,,,,,
1317,2374,,,,,
1318,2399,,,,,
1319,2392,,,,,
1320,2398,,,,,
1321,2380,,,,,
1322,2405,,,,,
1323,2391,,,,,
1324,2416,,,,,
1325,2433,,,,,
1326,2459,,,,,
1327,2484,,,,,
1328,2509,,,,,
1329,2534,,,,,
1330,2435,,,,,
1331,2461,,,,,
1332,2486,,,,,
1333,2511,,,,,
1334,2536,,,,,
1335,2442,,,,,
1336,2467,,,,,
1337,2492,,,,,
1338,2517,,,,,
1339,2542,,,,,
1340,2567,,,,,
1341,2402,,,,,
1342,2427,,,,,
1343,2384,,,,,
1344,2377,,,,,
1345,2383,,,,,
1346,2408,,,,,
1347,2390,,,,,
1348,2375,,,,,
1349,2401,,,,,
1350,2418,,,,,
1351,2444,,,,,
1352,2469,,,,,
1353,2494,,,,,
1354,2519,,,,,
1355,2420,,,,,
1356,2446,,,,,
1357,2471,,,,,
1358,2496,,,,,
1359,2521,,,,,
1360,2426,,,,,
1361,2452,,,,,
1362,2477,,,,,
1363,2502,,,,,
1364,2527,,,,,
1365,2552,,,,,
1366,2577,,,,,
1367,2412,,,,,
1368,2437,,,,,
1369,2463,,,,,
1370,2488,,,,,
1371,2513,,,,,
1372,2538,,,,,
1373,2563,,,,,
1374,2588,,,,,
1375,2429,,,,,
1376,2455,,,,,
1377,2480,,,,,
1378,2505,,,,,
1379,2379,,,,,
1380,2404,,,,,
1381,2378,,,,,
1382,2403,,,,,
1383,2385,,,,,
1384,2410,,,,,
1385,2396,,,,,
1386,2421,,,,,
1387,2438,,,,,
1388,2464,,,,,
1389,2489,,,,,
1390,2514,,,,,
1391,2415,,,,,
1392,2441,,,,,
1393,2466,,,,,
1394,2491,,,,,
1395,2516,,,,,
1396,2541,,,,,
1397,2447,,,,,
1398,2472,,,,,
1399,2497,,,,,
1400,2522,,,,,
1401,2547,,,,,
1402,2572,,,,,
1403,2407,,,,,
1404,2432,,,,,
1405,2458,,,,,
1406,2483,,,,,
1407,2508,,,,,
1408,2533,,,,,
1409,2558,,,,,
1410,2583,,,,,
1411,2424,,,,,
1412,2450,,,,,
1413,2475,,,,,
1414,2500,,,,,
1415,2525,,,,,
1416,2550,,,,,
1417,2453,,,,,
1418,2575,,,,,
1419,2600,,,,,
1420,2478,,,,,
1421,2597,,,,,
1422,2503,,,,,
1423,2622,,,,,
1424,2528,,,,,
1425,2544,,,,,
1426,2553,,,,,
1427,2569,,,,,
1428,2578,,,,,
1429,2589,,,,,
1430,2419,,,,,
1431,2510,,,,,
1432,2614,,,,,
1433,2535,,,,,
1434,2560,,,,,
1435,2585,,,,,
1436,2610,,,,,
1437,2607,,,,,
1438,2632,,,,,
1439,2554,,,,,
1440,2546,,,,,
1441,2599,,,,,
1442,2624,,,,,
1443,2445,,,,,
1444,2394,,,,,
1445,2470,,,,,
1446,2530,,,,,
1447,2495,,,,,
1448,2555,,,,,
1449,2520,,,,,
1450,2580,,,,,
1451,2545,,,,,
1452,2605,,,,,
1453,2570,,,,,
1454,2595,,,,,
1455,2602,,,,,
1456,2592,,,,,
1457,2627,,,,,
1458,2617,,,,,
1459,2549,,,,,
1460,2539,,,,,
1461,2574,,,,,
1462,2564,,,,,
1463,2584,,,,,
1464,2609,,,,,
1465,2594,,,,,
1466,2634,,,,,
1467,2619,,,,,
1468,2387,,,,,
1469,2393,,,,,
1470,2376,,,,,
1471,2400,,,,,
1472,2386,,,,,
1473,2411,,,,,
1474,2428,,,,,
1475,2454,,,,,
1476,2479,,,,,
1477,2504,,,,,
1478,2529,,,,,
1479,2430,,,,,
1480,2456,,,,,
1481,2481,,,,,
1482,2506,,,,,
1483,2531,,,,,
1484,2436,,,,,
1485,2462,,,,,
1486,2487,,,,,
1487,2512,,,,,
1488,2537,,,,,
1489,2562,,,,,
1490,2397,,,,,
1491,2422,,,,,
1492,2448,,,,,
1493,2473,,,,,
1494,2498,,,,,
1495,2523,,,,,
1496,2548,,,,,
1497,2573,,,,,
1498,2414,,,,,
1499,2439,,,,,
1500,2465,,,,,
1501,2490,,,,,
1502,2515,,,,,
1503,2540,,,,,
1504,2565,,,,,
1505,2590,,,,,
1506,2587,,,,,
1507,2612,,,,,
1508,2637,,,,,
1509,2559,,,,,
1510,2579,,,,,
1511,2604,,,,,
1512,2629,,,,,
1513,2551,,,,,
1514,2571,,,,,
1515,2615,,,,,
1516,2635,,,,,
1517,2606,,,,,
1518,2626,,,,,
1519,2598,,,,,
1520,2618,,,,,
1521,2561,,,,,
1522,2581,,,,,
1523,2625,,,,,
1524,2596,,,,,
1525,2616,,,,,
1526,2636,,,,,
1527,2608,,,,,
1528,2628,,,,,
1529,2566,,,,,
1530,2586,,,,,
1531,2630,,,,,
1532,2601,,,,,
1533,2621,,,,,
1534,2593,,,,,
1535,2613,,,,,
1536,2633,,,,,
1537,2556,,,,,
1538,2576,,,,,
1539,2620,,,,,
1540,2591,,,,,
1541,2611,,,,,
1542,2631,,,,,
1543,2603,,,,,
1544,2623,,,,,
1545,2640,,,,,
1546,2664,,,,,
1547,2657,,,,,
1548,2644,,,,,
1549,2638,,,,,
1550,2654,,,,,
1551,2662,,,,,
1552,2647,,,,,
1553,2639,,,,,
1554,2672,,,,,
1555,2661,,,,,
1556,2646,,,,,
1557,2658,,,,,
1558,2643,,,,,
1559,2645,,,,,
1560,2668,,,,,
1561,2687,,,,,
1562,2655,,,,,
1563,2712,,,,,
1564,2697,,,,,
1565,2737,,,,,
1566,2722,,,,,
1567,2762,,,,,
1568,2747,,,,,
1569,2680,,,,,
1570,2665,,,,,
1571,2705,,,,,
1572,2690,,,,,
1573,2730,,,,,
1574,2715,,,,,
1575,2755,,,,,
1576,2740,,,,,
1577,2780,,,,,
1578,2765,,,,,
1579,2772,,,,,
1580,2790,,,,,
1581,2797,,,,,
1582,2782,,,,,
1583,2822,,,,,
1584,2807,,,,,
1585,2847,,,,,
1586,2832,,,,,
1587,2693,,,,,
1588,2857,,,,,
1589,2718,,,,,
1590,2703,,,,,
1591,2800,,,,,
1592,2728,,,,,
1593,2872,,,,,
1594,2810,,,,,
1595,2748,,,,,
1596,2882,,,,,
1597,2773,,,,,
1598,2798,,,,,
1599,2758,,,,,
1600,2823,,,,,
1601,2783,,,,,
1602,2808,,,,,
1603,2649,,,,,
1604,2642,,,,,
1605,2667,,,,,
1606,2641,,,,,
1607,2666,,,,,
1608,2663,,,,,
1609,2650,,,,,
1610,2692,,,,,
1611,2717,,,,,
1612,2742,,,,,
1613,2660,,,,,
1614,2674,,,,,
1615,2656,,,,,
1616,2653,,,,,
1617,2678,,,,,
1618,2682,,,,,
1619,2707,,,,,
1620,2732,,,,,
1621,2757,,,,,
1622,2675,,,,,
1623,2700,,,,,
1624,2725,,,,,
1625,2750,,,,,
1626,2775,,,,,
1627,2767,,,,,
1628,2792,,,,,
1629,2817,,,,,
1630,2842,,,,,
1631,2688,,,,,
1632,2713,,,,,
1633,2867,,,,,
1634,2743,,,,,
1635,2768,,,,,
1636,2793,,,,,
1637,2818,,,,,
1638,2679,,,,,
1639,2704,,,,,
1640,2729,,,,,
1641,2681,,,,,
1642,2706,,,,,
1643,2731,,,,,
1644,2825,,,,,
1645,2858,,,,,
1646,2845,,,,,
1647,2870,,,,,
1648,2878,,,,,
1649,2759,,,,,
1650,2784,,,,,
1651,2833,,,,,
1652,2694,,,,,
1653,2719,,,,,
1654,2671,,,,,
1655,2696,,,,,
1656,2721,,,,,
1657,2815,,,,,
1658,2848,,,,,
1659,2835,,,,,
1660,2860,,,,,
1661,2885,,,,,
1662,2749,,,,,
1663,2774,,,,,
1664,2684,,,,,
1665,2709,,,,,
1666,2734,,,,,
1667,2686,,,,,
1668,2711,,,,,
1669,2809,,,,,
1670,2736,,,,,
1671,2834,,,,,
1672,2830,,,,,
1673,2799,,,,,
1674,2863,,,,,
1675,2824,,,,,
1676,2850,,,,,
1677,2849,,,,,
1678,2875,,,,,
1679,2874,,,,,
1680,2883,,,,,
1681,2756,,,,,
1682,2764,,,,,
1683,2781,,,,,
1684,2789,,,,,
1685,2806,,,,,
1686,2814,,,,,
1687,2839,,,,,
1688,2864,,,,,
1689,2746,,,,,
1690,2771,,,,,
1691,2796,,,,,
1692,2685,,,,,
1693,2659,,,,,
1694,2710,,,,,
1695,2652,,,,,
1696,2735,,,,,
1697,2669,,,,,
1698,2760,,,,,
1699,2651,,,,,
1700,2785,,,,,
1701,2648,,,,,
1702,2777,,,,,
1703,2673,,,,,
1704,2802,,,,,
1705,2677,,,,,
1706,2827,,,,,
1707,2702,,,,,
1708,2852,,,,,
1709,2727,,,,,
1710,2698,,,,,
1711,2752,,,,,
1712,2723,,,,,
1713,2670,,,,,
1714,2805,,,,,
1715,2695,,,,,
1716,2877,,,,,
1717,2720,,,,,
1718,2753,,,,,
1719,2745,,,,,
1720,2778,,,,,
1721,2770,,,,,
1722,2803,,,,,
1723,2795,,,,,
1724,2828,,,,,
1725,2787,,,,,
1726,2689,,,,,
1727,2812,,,,,
1728,2714,,,,,
1729,2837,,,,,
1730,2739,,,,,
1731,2683,,,,,
1732,2691,,,,,
1733,2708,,,,,
1734,2716,,,,,
1735,2733,,,,,
1736,2741,,,,,
1737,2862,,,,,
1738,2859,,,,,
1739,2843,,,,,
1740,2868,,,,,
1741,2855,,,,,
1742,2880,,,,,
1743,2744,,,,,
1744,2769,,,,,
1745,2738,,,,,
1746,2794,,,,,
1747,2763,,,,,
1748,2884,,,,,
1749,2788,,,,,
1750,2766,,,,,
1751,2813,,,,,
1752,2791,,,,,
1753,2838,,,,,
1754,2699,,,,,
1755,2724,,,,,
1756,2836,,,,,
1757,2819,,,,,
1758,2676,,,,,
1759,2844,,,,,
1760,2701,,,,,
1761,2869,,,,,
1762,2726,,,,,
1763,2751,,,,,
1764,2820,,,,,
1765,2776,,,,,
1766,2853,,,,,
1767,2801,,,,,
1768,2840,,,,,
1769,2821,,,,,
1770,2865,,,,,
1771,2846,,,,,
1772,2873,,,,,
1773,2816,,,,,
1774,2754,,,,,
1775,2841,,,,,
1776,2779,,,,,
1777,2826,,,,,
1778,2804,,,,,
1779,2829,,,,,
1780,2854,,,,,
1781,2879,,,,,
1782,2761,,,,,
1783,2786,,,,,
1784,2811,,,,,
1785,2831,,,,,
1786,2861,,,,,
1787,2886,,,,,
1788,2851,,,,,
1789,2876,,,,,
1790,2866,,,,,
1791,2871,,,,,
1792,2856,,,,,
1793,2881,,,,,
1794,2891,,,,,
1795,2913,,,,,
1796,2923,,,,,
1797,2895,,,,,
1798,2910,,,,,
1799,2928,,,,,
1800,2953,,,,,
1801,2978,,,,,
1802,2896,,,,,
1803,2901,,,,,
1804,2916,,,,,
1805,2900,,,,,
1806,2915,,,,,
1807,2933,,,,,
1808,2958,,,,,
1809,2983,,,,,
1810,3009,,,,,
1811,2951,,,,,
1812,2976,,,,,
1813,3002,,,,,
1814,2888,,,,,
1815,2903,,,,,
1816,2911,,,,,
1817,2926,,,,,
1818,2894,,,,,
1819,2899,,,,,
1820,2943,,,,,
1821,2968,,,,,
1822,2993,,,,,
1823,2936,,,,,
1824,2961,,,,,
1825,2898,,,,,
1826,2906,,,,,
1827,2921,,,,,
1828,2889,,,,,
1829,2920,,,,,
1830,2938,,,,,
1831,2963,,,,,
1832,2988,,,,,
1833,2893,,,,,
1834,2931,,,,,
1835,2908,,,,,
1836,2956,,,,,
1837,2918,,,,,
1838,2981,,,,,
1839,2890,,,,,
1840,3004,,,,,
1841,2905,,,,,
1842,2904,,,,,
1843,2948,,,,,
1844,2973,,,,,
1845,2998,,,,,
1846,2941,,,,,
1847,2966,,,,,
1848,2991,,,,,
1849,2930,,,,,
1850,2955,,,,,
1851,2980,,,,,
1852,2945,,,,,
1853,2970,,,,,
1854,2914,,,,,
1855,2995,,,,,
1856,2939,,,,,
1857,3021,,,,,
1858,2964,,,,,
1859,2929,,,,,
1860,2989,,,,,
1861,2954,,,,,
1862,3015,,,,,
1863,2979,,,,,
1864,3034,,,,,
1865,3005,,,,,
1866,3032,,,,,
1867,3024,,,,,
1868,2907,,,,,
1869,3022,,,,,
1870,2897,,,,,
1871,2946,,,,,
1872,2971,,,,,
1873,2996,,,,,
1874,2935,,,,,
1875,2960,,,,,
1876,2985,,,,,
1877,3011,,,,,
1878,2919,,,,,
1879,2944,,,,,
1880,2969,,,,,
1881,2994,,,,,
1882,3014,,,,,
1883,3012,,,,,
1884,2887,,,,,
1885,2912,,,,,
1886,2940,,,,,
1887,2965,,,,,
1888,2986,,,,,
1889,2990,,,,,
1890,3016,,,,,
1891,2924,,,,,
1892,2949,,,,,
1893,2974,,,,,
1894,2925,,,,,
1895,2999,,,,,
1896,2950,,,,,
1897,3019,,,,,
1898,3017,,,,,
1899,2892,,,,,
1900,3026,,,,,
1901,3031,,,,,
1902,3020,,,,,
1903,3025,,,,,
1904,3049,,,,,
1905,3074,,,,,
1906,3079,,,,,
1907,3099,,,,,
1908,3104,,,,,
1909,3129,,,,,
1910,3041,,,,,
1911,3154,,,,,
1912,3039,,,,,
1913,3047,,,,,
1914,3072,,,,,
1915,3097,,,,,
1916,3114,,,,,
1917,3122,,,,,
1918,3139,,,,,
1919,3147,,,,,
1920,3164,,,,,
1921,2927,,,,,
1922,3057,,,,,
1923,2952,,,,,
1924,3082,,,,,
1925,2977,,,,,
1926,3107,,,,,
1927,3003,,,,,
1928,3132,,,,,
1929,3028,,,,,
1930,3157,,,,,
1931,2937,,,,,
1932,2962,,,,,
1933,2987,,,,,
1934,2975,,,,,
1935,3013,,,,,
1936,3001,,,,,
1937,3038,,,,,
1938,2909,,,,,
1939,2934,,,,,
1940,3046,,,,,
1941,2959,,,,,
1942,3044,,,,,
1943,2984,,,,,
1944,3069,,,,,
1945,3010,,,,,
1946,3094,,,,,
1947,3029,,,,,
1948,3119,,,,,
1949,3027,,,,,
1950,3144,,,,,
1951,2902,,,,,
1952,3037,,,,,
1953,3036,,,,,
1954,3030,,,,,
1955,3087,,,,,
1956,3059,,,,,
1957,3112,,,,,
1958,3137,,,,,
1959,3109,,,,,
1960,2917,,,,,
1961,3134,,,,,
1962,2942,,,,,
1963,3159,,,,,
1964,2967,,,,,
1965,3052,,,,,
1966,2992,,,,,
1967,3077,,,,,
1968,3018,,,,,
1969,3124,,,,,
1970,3149,,,,,
1971,3042,,,,,
1972,3067,,,,,
1973,3092,,,,,
1974,3117,,,,,
1975,3142,,,,,
1976,2922,,,,,
1977,2947,,,,,
1978,2972,,,,,
1979,2997,,,,,
1980,3023,,,,,
1981,3102,,,,,
1982,3127,,,,,
1983,3152,,,,,
1984,2932,,,,,
1985,2957,,,,,
1986,2982,,,,,
1987,3033,,,,,
1988,3061,,,,,
1989,3051,,,,,
1990,3086,,,,,
1991,3111,,,,,
1992,3101,,,,,
1993,3136,,,,,
1994,3126,,,,,
1995,3151,,,,,
1996,3056,,,,,
1997,3035,,,,,
1998,3060,,,,,
1999,3106,,,,,
2000,3131,,,,,
2001,3110,,,,,
2002,3156,,,,,
2003,3040,,,,,
2004,3071,,,,,
2005,3096,,,,,
2006,3161,,,,,
2007,3121,,,,,
2008,3045,,,,,
2009,3146,,,,,
2010,3070,,,,,
2011,3171,,,,,
2012,3095,,,,,
2013,3055,,,,,
2014,3120,,,,,
2015,3080,,,,,
2016,3145,,,,,
2017,3105,,,,,
2018,3170,,,,,
2019,3130,,,,,
2020,3048,,,,,
2021,3155,,,,,
2022,3073,,,,,
2023,3162,,,,,
2024,3098,,,,,
2025,3058,,,,,
2026,3083,,,,,
2027,3108,,,,,
2028,3133,,,,,
2029,3158,,,,,
2030,3066,,,,,
2031,3091,,,,,
2032,3116,,,,,
2033,3141,,,,,
2034,3166,,,,,
2035,3050,,,,,
2036,3075,,,,,
2037,3100,,,,,
2038,3123,,,,,
2039,3148,,,,,
2040,3150,,,,,
2041,3169,,,,,
2042,3115,,,,,
2043,3053,,,,,
2044,3140,,,,,
2045,3078,,,,,
2046,3165,,,,,
2047,3103,,,,,
2048,3043,,,,,
2049,3128,,,,,
2050,3068,,,,,
2051,3153,,,,,
2052,3093,,,,,
2053,3135,,,,,
2054,3160,,,,,
2055,3167,,,,,
2056,3118,,,,,
2057,3113,,,,,
2058,3143,,,,,
2059,3138,,,,,
2060,3163,,,,,
2061,3168,,,,,
2062,3173,,,,,
2063,3187,,,,,
2064,3198,,,,,
2065,3202,,,,,
2066,3227,,,,,
2067,3252,,,,,
2068,3277,,,,,
2069,3177,,,,,
2070,3192,,,,,
2071,3197,,,,,
2072,3207,,,,,
2073,3232,,,,,
2074,3257,,,,,
2075,3186,,,,,
2076,3211,,,,,
2077,3208,,,,,
2078,3233,,,,,
2079,3258,,,,,
2080,3283,,,,,
2081,3172,,,,,
2082,3183,,,,,
2083,3203,,,,,
2084,3212,,,,,
2085,3237,,,,,
2086,3262,,,,,
2087,3178,,,,,
2088,3188,,,,,
2089,3176,,,,,
2090,3191,,,,,
2091,3216,,,,,
2092,3213,,,,,
2093,3238,,,,,
2094,3263,,,,,
2095,3288,,,,,
2096,3256,,,,,
2097,3281,,,,,
2098,3306,,,,,
2099,3313,,,,,
2100,3339,,,,,
2101,3364,,,,,
2102,3389,,,,,
2103,4016,,,,,
2104,3189,,,,,
2105,3185,,,,,
2106,3251,,,,,
2107,3276,,,,,
2108,3301,,,,,
2109,3308,,,,,
2110,3334,,,,,
2111,3206,,,,,
2112,3359,,,,,
2113,3231,,,,,
2114,3384,,,,,
2115,3228,,,,,
2116,4011,,,,,
2117,3253,,,,,
2118,3184,,,,,
2119,3278,,,,,
2120,3180,,,,,
2121,3246,,,,,
2122,3271,,,,,
2123,3296,,,,,
2124,3303,,,,,
2125,3328,,,,,
2126,3182,,,,,
2127,3354,,,,,
2128,3193,,,,,
2129,3379,,,,,
2130,3181,,,,,
2131,4006,,,,,
2132,3222,,,,,
2133,3179,,,,,
2134,3247,,,,,
2135,3175,,,,,
2136,3272,,,,,
2137,3200,,,,,
2138,3201,,,,,
2139,3226,,,,,
2140,3217,,,,,
2141,3242,,,,,
2142,3223,,,,,
2143,3248,,,,,
2144,3273,,,,,
2145,3241,,,,,
2146,3266,,,,,
2147,3291,,,,,
2148,3298,,,,,
2149,3323,,,,,
2150,3349,,,,,
2151,3374,,,,,
2152,4001,,,,390.0,1428515.82
2153,3174,,,,,
2154,3199,,,,,
2155,3195,,,,,
2156,3267,,,,,
2157,3196,,,,,
2158,3221,,,,,
2159,3218,,,,,
2160,3243,,,,,
2161,3268,,,,,
2162,3236,,,,,
2163,3261,,,,,
2164,3286,,,,,
2165,3293,,,,,
2166,3318,,,,,
2167,3344,,,,,
2168,3214,,,,,
2169,3369,,,,,
2170,3239,,,,,
2171,3264,,,,,
2172,3394,,,,,
2173,3289,,,,,
2174,4021,,,,49267.0,176786317.62
2175,3314,,,,,
2176,3194,,,,,
2177,3205,,,,,
2178,3190,,,,,
2179,3230,,,,,
2180,3204,,,,,
2181,3255,,,,,
2182,3229,,,,,
2183,3280,,,,,
2184,3254,,,,,
2185,3305,,,,,
2186,3279,,,,,
2187,3287,,,,,
2188,3304,,,,,
2189,3329,,,,,
2190,3311,,,,,
2191,3220,,,,,
2192,3219,,,,,
2193,3245,,,,,
2194,3244,,,,,
2195,3270,,,,,
2196,3295,,,,,
2197,3320,,,,,
2198,3316,,,,,
2199,3302,,,,,
2200,3224,,,,,
2201,3269,,,,,
2202,3249,,,,,
2203,3294,,,,,
2204,3274,,,,,
2205,3319,,,,,
2206,3299,,,,,
2207,3210,,,,,
2208,3324,,,,,
2209,3235,,,,,
2210,3215,,,,,
2211,3260,,,,,
2212,3240,,,,,
2213,3285,,,,,
2214,3265,,,,,
2215,3310,,,,,
2216,3290,,,,,
2217,3292,,,,,
2218,3315,,,,,
2219,3209,,,,,
2220,3234,,,,,
2221,3259,,,,,
2222,3284,,,,,
2223,3309,,,,,
2224,3335,,,,,
2225,3225,,,,,
2226,3250,,,,,
2227,3275,,,,,
2228,3300,,,,,
2229,3282,,,,,
2230,3297,,,,,
