,disasternumber,declarationdate,incidenttype,statecode,totalnumberiaapproved,totalamountihpapproved
144,7,1953-06-11,Tornado,MA,,
145,6,1953-06-09,Tornado,MI,,
146,14,1953-12-06,Tornado,MS,,
147,54,1956-04-07,Tornado,OK,,
148,2,1953-05-15,Tornado,TX,,
149,16,1954-03-17,Tornado,GA,,
150,4,1953-06-02,Tornado,MI,,
151,987,1993-04-26,Tornado,OK,,
152,980,1993-03-04,Tornado,GA,,
153,982,1993-03-13,Tornado,FL,,
154,970,1992-12-04,Tornado,TX,,
155,968,1992-11-25,Tornado,MS,,
156,967,1992-10-17,Tornado,MS,,
157,959,1992-09-02,Tornado,WI,,
158,963,1992-09-18,Tornado,WI,,
159,969,1992-12-01,Tornado,GA,,
160,939,1992-03-20,Tornado,MS,,
161,949,1992-07-02,Tornado,TX,,
162,903,1991-04-29,Tornado,KS,,
163,905,1991-05-08,Tornado,OK,,
164,4385,2018-08-20,Tornado,CT,,
165,4419,2019-03-05,Tornado,AL,136.0,1293818.47
166,4447,2019-06-18,Tornado,OH,1595.0,4377259.5
167,1258,,,,,
168,1268,,,,,
169,1241,,,,,
170,1265,,,,,
171,1247,,,,,
172,1243,,,,,
173,1239,,,,,
174,1278,,,,,
175,1250,,,,,
176,1275,,,,,
177,1257,,,,,
178,1335,,,,,
179,1282,,,,,
180,1256,,,,,
181,1263,,,,,
182,1245,,,,,
183,1270,,,,,
184,1252,,,,,
185,1277,,,,,
186,1305,,,,,
187,1248,,,,,
188,1244,,,,,
189,1283,,,,,
190,1255,,,,,
191,1262,,,,,
192,1290,,,,,
193,1315,,,,,
194,1340,,,,,
195,1287,,,,,
196,1261,,,,,
197,1253,,,,,
198,1249,,,,,
199,1288,,,,,
200,1260,,,,,
201,1240,,,,,
202,1267,,,,,
203,1295,,,,,
204,1320,,,,,
205,1345,,,,,
206,1242,,,,,
207,1266,,,,,
208,1380,,,,,
209,1302,,,,,
210,1327,,,,,
211,1352,,,,,
212,1377,,,,,
213,1402,,,,,
214,1427,,,,,
215,1313,,,,,
216,1338,,,,,
217,1363,,,,,
218,1370,,,,,
219,1330,,,,,
220,1292,,,,,
221,1355,,,,,
222,1251,,,,,
223,1317,,,,,
224,1365,,,,,
225,1342,,,,,
226,1367,,,,,
227,1300,,,,,
228,1392,,,,,
229,1325,,,,,
230,1417,,,,,
231,1350,,,,,
232,1303,,,,,
233,1246,,,,,
234,1328,,,,,
235,1360,,,,,
236,1385,,,,,
237,1307,,,,,
238,1332,,,,,
239,1357,,,,,
240,1382,,,,,
241,1407,,,,,
242,1293,,,,,
243,1375,,,,,
244,1318,,,,,
245,1297,,,,,
246,1390,,,,,
247,1322,,,,,
248,1312,,,,,
249,1347,,,,,
250,1337,,,,,
251,1372,,,,,
252,1362,,,,,
253,1397,,,,,
254,1387,,,,,
255,1422,,,,,
256,1412,,,,,
257,1308,,,,,
258,1298,,,,,
259,1333,,,,,
260,1358,,,,,
261,1348,,,,,
262,1343,,,,,
263,1368,,,,,
264,1395,,,,,
265,1405,,,,,
266,1420,,,,,
267,1430,,,,,
268,1378,,,,,
269,1388,,,,,
270,1403,,,,,
271,1413,,,,,
272,1428,,,,,
273,1438,,,,,
274,1400,,,,,
275,1425,,,,,
276,1299,,,,,
277,1383,,,,,
278,1324,,,,,
279,1349,,,,,
280,1408,,,,,
281,1374,,,,,
282,1433,,,,,
283,1399,,,,,
284,1269,,,,,
285,1281,,,,,
286,1294,,,,,
287,1306,,,,,
288,1319,,,,,
289,1331,,,,,
290,1344,,,,,
291,1356,,,,,
292,1369,,,,,
293,1381,,,,,
294,1394,,,,,
295,1406,,,,,
296,1276,,,,,
297,1431,,,,,
298,1301,,,,,
299,1326,,,,,
300,1264,,,,,
301,1410,,,,,
302,1289,,,,,
303,1435,,,,,
304,1314,,,,,
305,1393,,,,,
306,1339,,,,,
307,1418,,,,,
308,1364,,,,,
309,1254,,,,,
310,1389,,,,,
311,1279,,,,,
312,1271,,,,,
313,1304,,,,,
314,1296,,,,,
315,1329,,,,,
316,1321,,,,,
317,1346,,,,,
318,1354,,,,,
319,1371,,,,,
320,1396,,,,,
321,1415,,,,,
322,1421,,,,,
323,1373,,,,,
324,1419,,,,,
325,1398,,,,,
326,1423,,,,,
327,1259,,,,,
328,1284,,,,,
329,1429,,,,,
330,1309,,,,,
331,1379,,,,,
332,1334,,,,,
333,1404,,,,,
334,1359,,,,,
335,1286,,,,,
336,1384,,,,,
337,1311,,,,,
338,1336,,,,,
339,1291,,,,,
340,1361,,,,,
341,1316,,,,,
342,1386,,,,,
343,1341,,,,,
344,1411,,,,,
345,1366,,,,,
346,1436,,,,,
347,1391,,,,,
348,1434,,,,,
349,1414,,,,,
350,1439,,,,19827.0,57974742.1
351,1351,,,,,
352,1376,,,,,
353,1401,,,,,
354,1426,,,,,
355,1424,,,,,
356,1437,,,,,
357,1443,,,,555.0,2028548.78
358,1465,,,,935.0,2305722.55
359,1450,,,,,
360,1460,,,,6659.0,14538920.62
361,1485,,,,1155.0,2965355.19
362,1441,,,,412.0,1880461.2
363,1453,,,,1559.0,2609145.45
364,1475,,,,2558.0,6621705.06
365,1454,,,,3451.0,9369739.03
366,1479,,,,8552.0,20213296.06
367,1451,,,,,
368,1476,,,,4409.0,13386838.38
369,1444,,,,127.0,579893.02
370,1469,,,,449.0,1644357.98
371,1440,,,,272.0,470371.72
372,1466,,,,23660.0,50014084.62
373,1464,,,,5956.0,22160601.08
374,1489,,,,,
375,1461,,,,346.0,789831.28
376,1448,,,,,
377,1445,,,,199.0,509173.67
378,1470,,,,124.0,740552.45
379,1455,,,,2200.0,5431111.2
380,1449,,,,,
381,1480,,,,,
382,1474,,,,3559.0,10877948.83
383,1459,,,,9408.0,18270709.28
384,1446,,,,20699.0,125463060.64
385,1456,,,,,
386,1471,,,,1123.0,4108811.57
387,1481,,,,,
388,1494,,,,344.0,1459279.09
389,1519,,,,15716.0,19193921.3
390,1499,,,,700.0,2735259.91
391,1486,,,,901.0,1792438.3
392,1524,,,,573.0,1396915.31
393,1511,,,,1768.0,8112928.87
394,1491,,,,29177.0,57048028.63
395,1536,,,,507.0,1465037.44
396,1516,,,,,
397,1458,,,,849.0,2242480.28
398,1541,,,,3980.0,13836392.68
399,1483,,,,,
400,1463,,,,2423.0,8779157.72
401,1508,,,,,
402,1488,,,,,
403,1505,,,,3415.0,8134432.06
404,1513,,,,273.0,749315.3
405,1530,,,,4156.0,9640959.42
406,1510,,,,,
407,1555,,,,953.0,3439214.02
408,1457,,,,,
409,1504,,,,,
410,1482,,,,19150.0,20592021.41
411,1529,,,,,
412,1509,,,,,
413,1496,,,,,
414,1534,,,,,
415,1521,,,,4176.0,5900558.36
416,1501,,,,41875.0,58083771.07
417,1526,,,,3880.0,6568870.2
418,1535,,,,,
419,1551,,,,79390.0,164517307.53
420,1560,,,,,
421,1473,,,,4499.0,9679012.66
422,1462,,,,518.0,2518800.62
423,1487,,,,2972.0,8231038.84
424,1498,,,,10588.0,33842082.4
425,1495,,,,1.0,1756.2
426,1520,,,,2432.0,5034664.25
427,1545,,,,229577.0,411815685.98
428,1447,,,,559.0,3682703.79
429,1472,,,,3219.0,7297676.37
430,1514,,,,,
431,1539,,,,116769.0,208970753.97
432,1506,,,,8084.0,25921601.38
433,1531,,,,,
434,1556,,,,6124.0,23662227.18
435,1546,,,,7790.0,21289503.58
436,1478,,,,758.0,1980992.81
437,1468,,,,,
438,1503,,,,,
439,1493,,,,701.0,953918.36
440,1500,,,,5885.0,21655767.21
441,1490,,,,25950.0,45380866.63
442,1525,,,,694.0,1558980.89
443,1515,,,,,
444,1550,,,,4531.0,8514432.84
445,1540,,,,,
446,1452,,,,,
447,1442,,,,530.0,3306085.11
448,1477,,,,,
449,1467,,,,14864.0,25872687.19
450,1492,,,,8691.0,33051507.87
451,1544,,,,3296.0,9262094.78
452,1554,,,,1305.0,4243819.01
453,1569,,,,1363.0,4210930.22
454,1579,,,,,
455,1571,,,,,
456,1581,,,,,
457,1528,,,,,
458,1570,,,,661.0,2275380.47
459,1497,,,,267.0,1009837.0
460,1507,,,,507.0,1238534.8
461,1522,,,,6234.0,19563069.34
462,1532,,,,,
463,1547,,,,,
464,1557,,,,25102.0,86766316.64
465,1572,,,,,
466,1564,,,,2198.0,2883537.86
467,1559,,,,,
468,1566,,,,4399.0,7240598.76
469,1561,,,,180826.0,398620293.65
470,1523,,,,6750.0,21878709.14
471,1580,,,,8205.0,10017388.91
472,1518,,,,3112.0,6190448.7
473,1517,,,,392.0,829908.94
474,1575,,,,,
475,1542,,,,,
476,1512,,,,1584.0,2728345.06
477,1567,,,,,
478,1537,,,,,
479,1562,,,,,
480,1549,,,,89231.0,190193142.59
481,1574,,,,,
482,1576,,,,,
483,1565,,,,536.0,1612140.93
484,1502,,,,487.0,1220484.27
485,1527,,,,35693.0,41314005.89
486,1552,,,,159978.0,416500859.48
487,1577,,,,10913.0,21484255.07
488,1543,,,,,
489,1533,,,,,
490,1568,,,,,
491,1558,,,,4835.0,19308118.5
492,1548,,,,3043.0,4252022.77
493,1538,,,,6001.0,9961967.69
494,1573,,,,9713.0,12352135.45
495,1563,,,,457.0,1785198.18
496,1553,,,,4010.0,13371728.21
497,1578,,,,,
498,1582,,,,358.0,2507569.84
499,1584,,,,,
500,1607,,,,177538.0,523284650.26
501,1594,,,,,
502,1583,,,,,
503,1597,,,,,
504,1622,,,,,
505,1609,,,,227320.0,342239388.43
506,1587,,,,1496.0,3869721.15
507,1602,,,,,
508,1589,,,,2055.0,8072710.16
509,1614,,,,1526.0,3640862.23
510,1592,,,,,
511,1617,,,,109.0,459715.15
512,1604,,,,274488.0,1293717474.49
513,1627,,,,,
514,1653,,,,325.0,542186.19
515,1678,,,,,
516,1643,,,,4418.0,8999191.49
517,1703,,,,,
518,1668,,,,1753.0,6102556.19
519,1640,,,,214.0,627043.17
520,1693,,,,1186.0,1996983.07
521,1603,,,,737609.0,5247169458.98
522,1629,,,,,
523,1593,,,,4468.0,4457183.03
524,1628,,,,2158.0,7031442.71
525,1618,,,,,
526,1632,,,,,
527,1648,,,,,
528,1673,,,,,
529,1698,,,,,
530,1634,,,,399.0,1597672.53
531,1598,,,,,
532,1623,,,,196.0,2170143.29
533,1637,,,,53.0,215839.32
534,1663,,,,,
535,1688,,,,,
536,1624,,,,164.0,1657653.02
537,1588,,,,1011.0,2514186.68
538,1613,,,,,
539,1638,,,,,
540,1658,,,,1972.0,4604303.23
541,1683,,,,,
542,1619,,,,,
543,1645,,,,,
544,1608,,,,,
545,1633,,,,515.0,1067253.81
546,1713,,,,,
547,1718,,,,1200.0,5648799.17
548,1655,,,,,
549,1660,,,,,
550,1680,,,,132.0,943028.88
551,1685,,,,268.0,862378.0
552,1710,,,,,
553,1705,,,,979.0,2518434.46
554,1730,,,,767.0,4461751.16
555,1735,,,,,
556,1659,,,,570.0,1734450.72
557,1723,,,,,
558,1684,,,,,
559,1709,,,,6103.0,25681950.62
560,1665,,,,8173.0,9121209.04
561,1734,,,,4020.0,21160441.15
562,1690,,,,201.0,916208.97
563,1605,,,,55830.0,128278244.61
564,1715,,,,,
565,1630,,,,,
566,1644,,,,581.0,1013205.06
567,1656,,,,4015.0,9412548.07
568,1669,,,,,
569,1681,,,,,
570,1694,,,,9850.0,18821508.61
571,1706,,,,,
572,1719,,,,3027.0,8012383.98
573,1731,,,,2016.0,14938068.56
574,1590,,,,,
575,1601,,,,,
576,1615,,,,,
577,1641,,,,,
578,1666,,,,,
579,1691,,,,,
580,1716,,,,,
581,1586,,,,,
