disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType
4350,11/22/2017,HURRICANE NATE,10/6/2017,10/10/2017,Major Disaster,MS,Mississippi                   ,Hurricane
4335,9/7/2017,HURRICANE IRMA,9/5/2017,9/7/2017,Major Disaster,VI,Virgin Islands of the U.S.    ,Hurricane
4314,5/22/2017,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,4/30/2017,4/30/2017,Major Disaster,MS,Mississippi                   ,Severe Storm(s)
4343,10/7/2017,SEVERE STORMS STRAIGHT-LINE WINDS FLOODING LANDSLIDES AND MUD,7/19/2017,7/23/2017,Major Disaster,WI,Wisconsin                     ,Severe Storm(s)
4329,8/9/2017,SEVERE STORMS AND FLOODING,7/1/2017,7/2/2017,Major Disaster,NH,New Hampshire                 ,Severe Storm(s)
4304,2/24/2017,SEVERE WINTER STORM,1/13/2017,1/16/2017,Major Disaster,KS,Kansas                        ,Severe Ice Storm
3387,9/8/2017,HURRICANE IRMA,9/7/2017,9/20/2017,Emergency,GA,Georgia                       ,Hurricane
4316,6/1/2017,SEVERE WINTER STORM ,3/14/2017,3/15/2017,Major Disaster,NH,New Hampshire                 ,Severe Storm(s)
4340,9/20/2017,HURRICANE MARIA,9/16/2017,9/22/2017,Major Disaster,VI,Virgin Islands of the U.S.    ,Hurricane
4325,8/1/2017,SEVERE STORMS TORNADOES AND STRAIGHT-LINE WINDS,6/12/2017,6/17/2017,Major Disaster,NE,Nebraska                      ,Severe Storm(s)
4354,1/2/2018,SEVERE STORM AND FLOODING,10/29/2017,11/1/2017,Major Disaster,ME,Maine                         ,Severe Storm(s)
4337,9/10/2017,HURRICANE IRMA,9/4/2017,10/18/2017,Major Disaster,FL,Florida                       ,Hurricane
4319,6/16/2017,SEVERE WINTER STORM SNOWSTORM STRAIGHT-LINE WINDS AND FLOODING,4/28/2017,5/3/2017,Major Disaster,KS,Kansas                        ,Snow
4300,2/11/2017,SEVERE STORMS TORNADOES AND STRAIGHT-LINE WINDS,2/7/2017,2/7/2017,Major Disaster,LA,Louisiana                     ,Tornado
4294,1/25/2017,SEVERE STORMS TORNADOES AND STRAIGHT-LINE WINDS,1/2/2017,1/2/2017,Major Disaster,GA,Georgia                       ,Severe Storm(s)
4274,7/15/2016,SEVERE STORMS AND FLOODING,6/11/2016,6/13/2016,Major Disaster,OK,Oklahoma                      ,Flood
4290,11/2/2016,SEVERE STORMS AND FLOODING,9/21/2016,9/24/2016,Major Disaster,MN,Minnesota                     ,Flood
4269,4/25/2016,SEVERE STORMS AND FLOODING ,4/17/2016,4/30/2016,Major Disaster,TX,Texas                         ,Flood
3378,10/6/2016,HURRICANE MATTHEW,10/4/2016,10/30/2016,Emergency,SC,South Carolina                ,Hurricane
4279,9/16/2016,SEVERE STORM AND FLOODING,7/30/2016,7/31/2016,Major Disaster,MD,Maryland                      ,Flood
